Test Name,Test Amount
Hepatitis E Antibody (Anti Hev) Igm Elisa,0.00
"Hepatitis E Antibody (Anti Hev), Igg",0.00
"Hepatitis E Antibody (Anti Hev), Igm",0.00
Hepatitis E Virus - Igg ( Hev - Igg),1210
Hepatitis E Virus - Igm ( Hev Igm ),1210
"Herpes Simplex Virus (Hsv) 1 Antibodies Panel Igg & Igm Antibody, Serum",0.00
"Herpes Simplex Virus (Hsv) 1 Igg Antibody, Serum",0.00
"Herpes Simplex Virus (Hsv) 1 Igm Antibody, Serum",0.00
"Herpes Simplex Virus (Hsv) 1+2 Igm, Serum",0.00
"Herpes Simplex Virus (Hsv) 2 Igg Antibody , Serum",0.00
"Herpes Simplex Virus (Hsv) 2 Igm Antibody , Serum",0.00
"Herpes Simplex Virus (Hsv)2 Antibodies Panel Igg & Igm, Serum",0.00
Herpes Simplex Virus [ Hsv ] Igg & Igm,700
Herpes Simplex Virus 1 & 2 Igm [ Hsv ],0.00
Herpes Simplex Virus Type 1 & 2 Qualitative Pcr,0.00
Histopathology Report,0.00
Histopathology Report (Appendicectomy),0.00
Histopathology Report (Bone Tumor Curretage),0.00
Histopathology Report (Cholecystectomy),0.00
Histopathology Report (Endometrium Biopsy),0.00
Histopathology Report (Hemithyroidectomy),0.00
Histopathology Report (Ovarian Cyst Excision),0.00
Histopathology Report (Simple Hysterectomy),0.00
Histopathology Report (Total Abdominal Hysterectomy),0.00
Histopathology Report (Wide Local Excision Of Tumor),0.00
"Histopathology Specimen, Large Specimen",0.00
"Histopathology Specimen, Medium Specimen",0.00
"Histopathology Specimen, Small Specimen",0.00
"Hiv 1 & 2 Antibodies, Western Blot",0.00
Hiv 1 & 2 Antibody,700
"Hiv 1& 2 Antibodies, Screening Test",0.00
Hiv Ag/Ab Combo_Architech,0.00
Hiv By Elisa Method,0.00
Hiv ELISA,700.00
Hiv P24 Antigen,0.00
Hiv Proviral Dna Pcr - Qualitative,0.00
Hiv Rna Qualitative Pcr,0.00
Hiv Spot,0.00
Hiv Western Blot Assay(Hiv 1 & 2),0.00
Hla - B 27 By Pcr Method,2500
Hla A - B - Dr (Low Resolution),0.00
HLA B27 (Human Leucocyte Antigen B27),2500
Hla B27 Studies Flowcytometry,2500
Hla B-5 (51/52),0.00
"Homa-Ir, Insulin /C-Peptide Resistance Index",4500
Homocysteine,1400
HPLC,400
Hpv Digene Hybrid Dna Detection,0.00
Hs Crp (High Sensitive C Reactive Protein),750.00
Hs Crp; High Sensitivity Crp,0.00
Hydrocele Sac,0.00
Hystectomy For Ovariyan Tumor With Node,0.00
Iga - Immunoglobulin A,800
Ige Level,600
Igf 1,2500
Igf-1(Stomatomedin C),2500
Igg - Immunoglobulin G,1200
Igm - Immunoglobulin M (Igm),1200
Ihc On Tissue Block,0.00
"Immunoglobulin Iga(Iga Total Antibody), Serum",800
"Immunoglobulin Ige(Ige Total Antibody), Serum",0.00
"Immunoglobulin Igg(Igg Total Antibody), Serum",1200
"Immunoglobulin M (Igm Total Antibody), Serum",0.00
Immunoglubulin Igg Level,1200
Immunohistochemistry Er/Pr,0.00
Immunohistochemistry Er/Pr/Her 2,0.00
Immunohistochemistry Per Marker,0.00
Incisional Biopsy Of Lump,0.00
"India Ink Preparation, Csf",0.00
Influenza B Virus Igm Antibody,0.00
"Inhibin A, Pregnancy",0.00
"Inhibin A, Reproductive Marker",0.00
Inhibin B,2565
Insulin Fasting,900
Insulin Level,900
Insulin Level ( Fasting),900
Insulin Level ( Post Prandial/Post Glucose),800
"Insulin, Post Prandial",800
"Insulin, Random",800
Intact Pth (Parathyroid Hormone),1500
Interferon Gamma release assay,0.00
